year,co2
36523 BCE,207.23
36463 BCE,210.79
36409 BCE,208
36334 BCE,207.41
36242 BCE,206.52
36216 BCE,208.34
36139 BCE,214.36
36050 BCE,211.21
35945 BCE,214.21
35827 BCE,212.09
35698 BCE,212.14
35669 BCE,214.3
35511 BCE,209.84
35481 BCE,212.51
35388 BCE,206.59
35352 BCE,209.66
35347 BCE,208.25
35193 BCE,207.35
35169 BCE,210.16
35073 BCE,206.36
34990 BCE,203.51
34870 BCE,202.76
34763 BCE,203.75
34720 BCE,203.77
34642 BCE,205.1
34556 BCE,198.96
34312 BCE,200.09
34223 BCE,201.78
34137 BCE,204.12
33998 BCE,198.8
33905 BCE,203.29
33752 BCE,200.5
33723 BCE,201.81
33618 BCE,201.83
33581 BCE,201.89
33559 BCE,202.04
33547 BCE,201.06
33496 BCE,200.3
33433 BCE,201.36
33409 BCE,203.62
33387 BCE,204.47
33332 BCE,205.38
33216 BCE,203.6
33140 BCE,198.78
32917 BCE,203.09
32876 BCE,202.8
32761 BCE,197.16
32698 BCE,198.89
32670 BCE,200.29
32653 BCE,199.49
32607 BCE,199.65
32384 BCE,196.2
32363 BCE,196.27
32301 BCE,195.79
32240 BCE,194.89
32114 BCE,195.93
32042 BCE,195.41
32007 BCE,196.47
31976 BCE,194.47
31958 BCE,194.46
31936 BCE,195.27
31891 BCE,195.63
31808 BCE,200.03
31605 BCE,197.8
31541 BCE,197.13
31468 BCE,196.9
31198 BCE,197.65
31059 BCE,196.33
30931 BCE,196.7
30863 BCE,199.3
30764 BCE,195.94
30728 BCE,195.08
30645 BCE,194.43
30561 BCE,194.61
30485 BCE,194.11
30411 BCE,195.25
30358 BCE,192.47
30201 BCE,196.91
30198 BCE,196.42
30130 BCE,193.91
30077 BCE,193.33
29984 BCE,192.51
29868 BCE,192.93
29842 BCE,193.71
29574 BCE,189.95
29406 BCE,188.48
29155 BCE,188
28826 BCE,190.33
28763 BCE,187.14
28579 BCE,182.94
28451 BCE,184.3
28363 BCE,185.99
28328 BCE,186.52
28232 BCE,188.48
28152 BCE,188.25
28049 BCE,191.57
28002 BCE,191.38
27888 BCE,190.97
27793 BCE,191.28
27731 BCE,189.77
27659 BCE,189.24
27460 BCE,189.21
27416 BCE,189.83
27374 BCE,191.01
27300 BCE,192.39
27255 BCE,188.1
27201 BCE,192.26
27059 BCE,192.87
26999 BCE,193.26
26953 BCE,192.69
26892 BCE,193.89
26774 BCE,193.8
26676 BCE,192.82
26627 BCE,193.1
26477 BCE,189.65
26464 BCE,189.16
26420 BCE,192.63
26322 BCE,191.59
26264 BCE,191.82
26147 BCE,189.96
26023 BCE,189.29
25977 BCE,188.99
25935 BCE,189.28
25916 BCE,190.58
25871 BCE,187.59
25769 BCE,189.3
25764 BCE,190.61
25737 BCE,192.71
25711 BCE,191.46
25636 BCE,191.95
25600 BCE,191.53
25553 BCE,191.23
25492 BCE,191.95
25330 BCE,190.06
25220 BCE,194.93
25135 BCE,186.27
25092 BCE,187.39
25005 BCE,188.08
24908 BCE,186.43
24754 BCE,185.44
24587 BCE,185.51
24511 BCE,186.01
24365 BCE,183.77
24305 BCE,184.57
24066 BCE,184.52
23836 BCE,186.54
23594 BCE,183.38
23401 BCE,182.66
23214 BCE,180.69
22694 BCE,180.57
22320 BCE,186.73
22128 BCE,184.68
21924 BCE,183.13
21651 BCE,187.99
21495 BCE,186.78
21408 BCE,193.53
21327 BCE,197.67
21235 BCE,188.6
21157 BCE,190.08
21064 BCE,190.53
21044 BCE,189.4
20884 BCE,186.13
20799 BCE,190.01
20701 BCE,188.49
20654 BCE,185.21
20600 BCE,184.68
20398 BCE,187.02
20342 BCE,187.22
20281 BCE,191.27
20106 BCE,187.38
19964 BCE,190.78
19841 BCE,187.96
19613 BCE,185.23
19395 BCE,187.24
19263 BCE,190.05
19118 BCE,188.4
19014 BCE,190.87
18878 BCE,192.66
18716 BCE,187.76
18587 BCE,193.93
18458 BCE,189.99
18263 BCE,190.47
18069 BCE,193.72
17934 BCE,196.06
